Time(sec) Pressure(Psi)  Flow(cc/min)   spread (Psi)   meanP (Psi)   
     48.7       0.002         0.00      0.00000       0.0000
     48.9       0.002        15.90      0.00000       0.0000
     49.0       0.002        16.09      0.00000       0.0000
     49.2       0.002        16.09      0.00000       0.0000
     49.4       0.002        16.01      0.00000       0.0000
     49.5       0.002        15.90      0.00000       0.0000
     49.7       0.002        15.80      0.00000       0.0000
     49.8       0.002        15.72      0.00000       0.0000
     50.0       0.002        15.62      0.00000       0.0000
     50.1       0.002        15.56      0.00000       0.0000
     50.3       0.002        15.52      0.00000       0.0000
     52.2       0.002        15.18      0.00000       0.0000
     52.4       0.002        15.18      0.00000       0.0000
     52.5       0.002        15.18      0.00000       0.0000
     52.7       0.002        15.15      0.00000       0.0000
     52.8       0.002        15.14      0.00000       0.0000
     53.0       0.002        15.14      0.00000       0.0000
     53.2       0.002        15.16      0.00000       0.0000
     53.3       0.002        15.17      0.00000       0.0000
     53.5       0.002        15.15      0.00000       0.0000
     53.6       0.002        15.15      0.00000       0.0000
     53.8       0.002        15.14      0.00000       0.0000
     53.9       0.002        15.16      0.00000       0.0000
     54.1       0.002        15.18      0.00000       0.0000
     54.2       0.002        15.17      0.00000       0.0000
     54.4       0.002        15.18      0.00000       0.0000
     56.2       0.002        15.20      0.00000       0.0000
     56.4       0.002        15.22      0.00000       0.0000
     56.5       0.002        15.22      0.00000       0.0000
     56.7       0.002        15.22      0.00000       0.0000
     56.8       0.002        15.21      0.00000       0.0000
     57.0       0.002        15.23      0.00000       0.0000
     57.1       0.002        15.24      0.00000       0.0000
     57.3       0.002        15.23      0.00000       0.0000
     57.5       0.002        15.22      0.00000       0.0000
     57.6       0.002        15.26      0.00000       0.0000
     57.7       0.002        15.28      0.00000       0.0000
     57.9       0.002        15.27      0.00000       0.0000
     58.0       0.002        15.26      0.00000       0.0000
     58.2       0.002        15.24      0.00002       0.0018
     58.4       0.002        15.23      0.00002       0.0018
     58.6       0.002        15.23      0.00003       0.0018
     61.4       0.002        15.34      0.00003       0.0018
     61.5       0.002        15.33      0.00003       0.0018
     61.7       0.002        15.34      0.00003       0.0018
     61.8       0.002        15.33      0.00003       0.0018
     62.0       0.002        15.33      0.00003       0.0018
     62.1       0.002        15.33      0.00003       0.0018
     62.3       0.002        15.34      0.00003       0.0018
     62.4       0.002        15.34      0.00003       0.0018
     62.6       0.002        15.37      0.00003       0.0018
     62.8       0.002        15.38      0.00003       0.0018
     62.9       0.002        15.39      0.00003       0.0018
     63.1       0.002        15.39      0.00003       0.0018
     97.1       0.002        15.38      0.00003       0.0018
     97.3       0.002        15.85      0.00003       0.0018
     97.5       0.002        15.86      0.00004       0.0018
     97.6       0.002        15.87      0.00004       0.0018
     97.8       0.002        15.88      0.00004       0.0018
     97.9       0.002        15.88      0.00004       0.0018
     98.1       0.002        15.87      0.00004       0.0018
     98.3       0.002        15.84      0.00004       0.0018
     98.4       0.002        15.82      0.00004       0.0018
     98.7       0.002        15.84      0.00004       0.0018
     99.9       0.002        15.87      0.00005       0.0018
    100.0       0.002        15.88      0.00005       0.0018
    100.2       0.002        15.86      0.00005       0.0018
    100.3       0.002        15.87      0.00005       0.0018
    100.5       0.002        15.87      0.00005       0.0018
    100.6       0.002        15.86      0.00005       0.0018
    100.8       0.002        15.87      0.00005       0.0018
    100.9       0.002        15.86      0.00005       0.0018
    101.1       0.002        15.88      0.00005       0.0018
    101.3       0.002        15.89      0.00005       0.0018
    101.4       0.002        15.88      0.00005       0.0018
    101.6       0.002        15.88      0.00005       0.0018
    109.0       0.002        15.88      0.00004       0.0018
    109.2       0.002        15.95      0.00005       0.0018
    109.4       0.002        15.93      0.00005       0.0018
    109.5       0.002        15.93      0.00005       0.0018
    109.7       0.002        15.93      0.00005       0.0018
    109.9       0.002        15.94      0.00004       0.0018
    110.0       0.002        15.96      0.00004       0.0018
    110.2       0.002        15.96      0.00004       0.0018
    110.3       0.002        15.93      0.00004       0.0018
    110.5       0.002        15.91      0.00004       0.0018
    110.7       0.002        15.91      0.00004       0.0018
    110.8       0.002        15.92      0.00004       0.0018
    111.0       0.002        15.94      0.00004       0.0018
    111.2       0.002        15.98      0.00003       0.0019
    111.3       0.002        15.99      0.00003       0.0019
    111.5       0.002        15.97      0.00003       0.0019
    111.7       0.002        15.94      0.00003       0.0019
